,fecha,titulo,descripcion,is_fake,descripcion_stem
10,2020-04-05,Municipio de Guayaquil donará mil ambulancias de cartón para los barrios populares,"Como un aporte solidario para con las familias que tienen a un ser querido enfermo durante la pandemia generada por el COVID-19, el Municipio de Guayaquil con el aporte de la empresa privada y la Asociación de Cartoneros, ha coordinado la entrega de dos mil ambulancias de cartón corrugado para atender a los enfermos. Las ambulancias de cartón llevarán a los muertos a sus ataúdes de cartón y serán distribuidos en los cementerios dibujados en cartón y de ser necesario, se entregará también al personal de Criminalística de la Policía Nacional.",1,aport solidari famili ser quer enferm pandemi gener cov municipi guayaquil aport empres priv asociaci n cartoner coordin entreg dos mil ambul cart n corrug atend enferm ambul cart n llev n muert ata des cart n ser n distribu cementeri dibuj cart n ser necesari entreg tambi n personal criminal stic polic nacional
11,2020-04-03,Maria Paula Romo: “Los Correístas se están muriendo a propósito para desprestigiarnos”,"La ministra de Gobierno, María Paula Romo, anunció que si habrá toque de queda total en la provincia de Guayas este fin de semana. A través de su cuenta en la red social Twitter Romo indicó que no hay que entrar en el pánico, y afirmó que las muertes en Guayaquil son planificadas por Rafael Correa desde Bélgica.",1,ministr gobiern mar paul rom anunci si habr toqu qued total provinci guay fin seman trav s cuent red social twitt rom indic entrar p nic afirm muert guayaquil planific rafael corre b lgic
12,2020-03-21,Cynthia Viteri se cura milagrosamente del Coronavirus,"La alcaldesa de Guayaquil, Cynthia Viteri, informó a las 10:30 de este sábado 21 de marzo del 2020, a través de redes sociales, que ha sido milagrosamente curada del coronavirus covid-19.  Viteri explicó que su milagrosa cura fue gracias a un cebiche de balde que se comió en la calle.",1,alcaldes guayaquil cynthi viteri inform s bad marz trav s red social sid milagr cur coronavirus cov viteri explic milagr cur graci cebich bald comi call
13,2020-03-21,La Unión Europea prohibe la entrada a guayaquileños por 10 años,"La Unión Europea emitió sanciones en contra de los guayaquileños por el bloqueo de la pista de aterrizaje del Aeropuerto José Joaquin de Olmedo de Guayaquil para impedir el aterrizaje de un avión procedente de España.  Bajo un comunicado, la Unión Europea no dejará entrar a su territorio a ningún ciudadano guayaquileño durante 10 años, y los descendientes de Cynthia Viteri, no podrán entrar a Europa por dos generaciones.",1,uni n europe emiti sancion guayaquil bloque pist aterrizaj aeropuert jos joaquin olmed guayaquil imped aterrizaj avi n procedent espa baj comunic uni n europe dej entrar territori ning n ciudadan guayaquil descendient cynthi viteri podr n entrar europ dos gener
14,2020-02-17,Erika Vélez afirma que Vargas la llamó a decirle que él es su ‘segundo marido’,"La actriz Erika Vélez anunció que el presidente de la CONAIE Jaime Vargas la contactó por teléfono. Érika Vélez quien fue elegida para ser la presentadora del programas Master Chef Ecuador reality show de gastronomía, afirmó que un tal “Jaime Vargas” le llamó para comunicarle que él es su segundo marido.",1,actriz erik v lez anunci president conai jaim varg contact tel fon rik v lez eleg ser present program mast chef ecuador reality show gastronom afirm tal jaim varg llam comunic l segund mar
15,2020-02-17,Jaime Vargas se auto proclama “Dios Hijo”,"Desde el Parque Calderón en la ciudad de Cuenca, el líder indígena Jaime Vargas se refirió, este 17 de febrero, al viaje que realizó hace unos días a Guatemala, donde participó en actividades con representantes de pueblos indígenas de otros países.  En rueda de prensa, el presidente de la Confederación de Nacionalidades Indígenas del Ecuador (Conaie) dijo que el presidente de Guatemala, Alejandro Giammattei, debió respetarlo porque él es presidente de la CONAIE y Dios Hijo.",1,parqu cald n ciud cuenc l der ind gen jaim varg refiri febrer viaj realiz hac d as guatemal particip activ represent puebl ind gen pa ses rued prens president confederaci n nacional ind gen ecuador conai dij president guatemal alejandr giammattei debi respet l president conai dios hij
16,2020-02-13,Moreno le habría robado más de 10 millones de átomos a Donald Trump,"Según fuentes oficiales, el presidente Lenín Moreno habría solicitado al registro civil que se le cambie la denominación de mestizo a blanco en las bases de datos ecuatorianas. Según Moreno, sus átomos ya no son 100% ecuatorianos porque respiró durante 15 minutos los átomos de Donald Trump durante su visita a Washington.",1,seg n fuent oficial president len n moren habr solicit registr civil cambi denominaci n mestiz blanc bas dat ecuatorian seg n moren tom ecuatorian resp minut tom donald trump visit washington
17,2020-02-01,Moreno:”Las mujeres no denuncian el acoso sexual cuando ven una vergota”,"El presidente de Ecuador, Lenín Moreno, expuso este viernes su interpretación del acoso sexual y dijo que “las mujeres no denuncian ningun acoso cuando el hombre es tiene una vergota, porque cuando ven ‘tremendo paquete’ no piensan en que sea un abuso”. “Los hombres estamos sometidos permanentemente al peligro de que nos acusen de acoso, menos aquellos que tienen 3 piernas, a ellos nunca les acusan”, dijo el presidente durante un acto público en Guayaquil con inversionistas y financieros a los que exponía su política de expansión económica.",1,president ecuador len n moren expus viern interpretaci n acos sexual dij mujer denunci ningun acos hombr vergot ven tremend paquet piens abus hombr somet permanent peligr acus acos men aquell piern nunc acus dij president acto p blic guayaquil inversion financier expon pol tic expansi n econ mic
18,2019-10-31,"Según Ivan Granda, Maria Paula Romo tendría el mustacho de Hitler abajo del ombligo","Después de que la CIDH investigara los asesinatos cometidos por el gobierno de Lenin Moreno durante las protestas, Ivan Granda -amante de la ministra del interior- confesó la perturbadora noticia. Según Granda, el detalle del mustacho de Hitler no le quedó desapercibido cada vez que se pegaba un “cebichito de concha”.",1,despu s cidh investig asesinat comet gobiern lenin moren protest ivan grand amant ministr interior conf perturb notici seg n grand detall mustach hitl qued desapercib cad vez peg cebichit conch
19,2019-10-29,Nebot se tatua al Che como prueba de su amor al comunismo,"Después de publicar su video socialista, el ex alcalde de Guayaquil Jaime Nebot, decidió mostrar sus tatuajes comunistas en sus redes sociales. “El comunismo es el camino hacia el desarrollo, el neoliberalismo no da de comer a los que más lo necesitan, yo soy un comunista de convicción, ¡patria o muerte!”, afirmó Nebot en un discurso.",1,despu s public vide social ex alcald guayaquil jaim nebot decidi mostr tatuaj comun red social comun camin haci desarroll neoliberal da com m s necesit comun convicci n patri muert afirm nebot discurs
20,2019-10-23,Moreno: Correa y Maduro están detrás de las protestas en Saturno,"Las protestas en el planeta Saturno no han cesado desde hace 6 semanas saturneanas donde el proletariado pide mejores condiciones de vida. Saturno se une a la ola de protestas donde Chile, Ecuador, Barcelona, Líbano han causado desmanes y saqueos en las calles debido a la injusticia social.",1,protest planet saturn ces hac seman saturnean proletari pid mejor condicion vid saturn une ola protest chil ecuador barcelon l ban caus desman saque call deb injustici social
21,2019-10-03,Gobierno legaliza las de 16 para que la gente se olvide del paquetazo,"El máximo organismo constitucional del Ecuador, respaldó el sexo consentido con señoritas de 16 años, esta madrugada. Con cinco votos a favor y cuatro en contra, la Corte Constitucional (CC) resolvió favorablemente el sexo entre un adulto y una niña de 16 años ya es legal y no será considerado como violación.",1,m xim organ constitucional ecuador respald sex consent orit madrug cinc vot favor cuatr cort constitucional cc resolvi favor sex adult legal ser consider violaci n
22,2019-10-02,"Anti-correísta que esperaba recibir solo la puntita en impuestos, recibió tremendo paquetazo","Miles de odioadores de Rafael Correa esperaban con un poco de miedo las nuevas medidas económicas ordenadas por el FMI, compraron varios litros de vaselina para estar preparados.  “Solo subirá el IVA dos puntos, Correa ya subió por un año y no pasó nada, es como decimos los hombres, solo la puntita jajaja”, manifestó Luis López un empleado público.",1,mil odioador rafael corre esper mied nuev med econ mic orden fmi compr vari litr vaselin prepar sol sub iva dos punt corre subi pas dec hombr sol puntit jajaj manifest luis l pez emple p blic
23,2019-09-26,El Lobo Feróz sopló y derrumbó las casas que construyó Otto,"Las casitas de caña que el vicepresidente de la república Otto Sonnenholzner entregó esta semana a los guayaquileños ya se encuentran destruidas. Las casitas que fueron hechas a la maldita sea, con caña podrida y techo con huecos fueron destruidas debido a fuertes vientos.",1,casit ca vicepresident rep blic otto sonnenholzn entreg seman guayaquil encuentr destru casit hech maldit ca podr tech huec destru deb fuert vient
24,2019-09-18,Cura pedófilo celebra la ley anti aborto con sus dos deliciosos monaguillos,"La Conferencia Episcopal Ecuatoriana felicitó a los legisladores, en un comunicado, por no votaran a favor de despenalizar el aborto en caso de que las mujeres sean víctimas de violación.  Un cura pedófilo aplaudió con euforia la no despenalización del aborto y afirmó que esta victoria de Dios merece ser celebrada.",1,conferent episcopal ecuatorian felicit legisl comunic vot favor despenaliz abort cas mujer v ctim violaci n cur ped fil aplaudi eufori despenalizaci n abort afirm victori dios merec ser celebr
25,2019-09-18,La Asamblea Nacional permite a los pedófilos ser padres de familia,"La Asamblea Nacional negó la noche de este martes la despenalización del aborto en caso de violación, contemplada dentro del proyecto de reformas al Código Orgánico Integral Penal (COIP), que introduce cambios en 129 artículos de la norma vigente. En los exteriores de la asamblea, la Asociación de Violadores del Ecuador (AVE), agradeció a la asamblea nacional por velar por sus derechos.",1,asamble nacional neg noch mart despenalizaci n abort cas violaci n contempl dentr proyect reform c dig org nic integral penal coip introduc cambi art cul norm vigent exterior asamble asociaci n violador ecuador ave agradeci asamble nacional vel derech
26,2019-09-05,Pamela Martínez no se acuerda donde dejó su bolígrafo,El disque cuaderno disque hallado detrás de una disque chimenea en la casa de Pamela Martínez supuestamente fue escrito en el 2018 según la fiscal Diana Salazar.  La ex asesora de Rafael Correa confirmó esta ella escribió todo de memoria porque tiene una memoria perfecta.,1,disqu cuadern disqu hall detr s disqu chimene cas pamel mart nez supuest escrit seg n fiscal dian salaz ex asesor rafael corre confirm escribi memori memori perfect
27,2019-09-04,Nació la hija de Vito Muñoz,"Piña Colada Muñoz Zambrano, la hija de Vito Muñoz y Rosibel Zambrano nació este 1 de septiembre de 2019 por parto natural. La hermosa bebé nació verdecita, midió 18 cm y pesó 4 libras, y llenó de alegría a la feliz pareja.",1,pi col mu oz zambran hij vit mu oz rosibel zambran naci septiembr part natural hermos beb naci verdecit midi cm pes libr llen alegr feliz parej
28,2019-08-16,El Zapato del Crnel. Tapia fue exitosamente extraído del culo de Vivanco,"Esta mañana doctores del Hospital Militar examinaron el trasero del youtuber Luis Eduardo Vivanco, el mismo que llegó al centro médico con síntomas de desgarro anal severo. Las radiografías del coxis de Vivanco, revelaron un zapato incrustado en el trasero del youtuber que probablemente pertenecería al Coronel Rolando Tapia.",1,ma ana doctor hospital milit examin traser youtub luis eduard vivanc mism lleg centr m dic s ntom desgarr anal sever radiograf as coxis vivanc revel zapat incrust traser youtub probabl pertenec coronel rol tapi
29,2019-08-05,Lenin Moreno pide disculpas a los chimpanzés por compararlos con niños guayaquileños,"El presidente Lenin Moreno intentó aclarar uno de sus comunes ‘lapsus brutos’ cuando se refirió a los niños pobres como “monitos emprendedores”. El rechazo por parte de los ecuatorianos, a obligado al presidente ecuatoriano a disculparse. Pero una vez mas, el débil intelecto de Moreno le jugó una mala pasada, al disculparse con los monos en lugar de con los ecuatorianos.",1,president lenin moren intent aclar comun lapsus brut refiri pobr monit emprendedor rechaz part ecuatorian oblig president ecuatorian disculp vez mas d bil intelect moren jug mal pas disculp mon lug ecuatorian
30,2019-07-29,Iván Granda: “Me como a la Romo porque no tengo plata para ir al Chongo”,"El Ministro Iván Granda en una entrevista con Carlos Vera, confirmó que si usa bienes del estado para irse de vacaciones amorosas con Maria Paula Romo, la ministra del Interior. Granda posteriormente confirmó que si “le atiende” a Romo, y afirmó que son tiempos difíciles y que no tiene plata para una buena ‘cariñosa’",1,ministr iv n grand entrev carl ver confirm si usa bien irse vacacion amor mari paul rom ministr interior grand posterior confirm si atiend rom afirm tiemp dif cil plat buen cari osa
31,2019-07-22,El lelo Vivanco bloquea a su abuela en Twitter por no pautar con la Posta,"Después de que el Shiri Carán de la capital, Jorge Yunda se burlara de Luis Eduardo Vivanco por las redes sociales, el Youtuber de la posta se ha dedicado a bloquear a todo aquel que lo trolée en las redes sociales. Según el Dr. Luis Sánchez, proctólogo del Hospital de lo Valles, el fuerte troleo que recibió Vivanco en las redes sociales le ha causado fuertes dolores anales. La desesperación de Vivanco fue tanta que hasta bloqueó a su abuela por trolearlo en twitter.",1,despu s shiri car n capital jorg yund burl luis eduard vivanc red social youtub post dedic bloqu aquel trol red social seg n dr luis s nchez proct log hospital vall fuert trole recibi vivanc red social caus fuert dolor anal desesperaci n vivanc tant bloqu abuel trol twitt
32,2019-07-15,Ministra Romo es menos histérica desde que el ministro Iván Granda le garrotea,"Después de que se descubriera la relación carnal entre la ministra del Interior Maria Paula Romo y el Ministro Iván Granda, muchas noticias han salido a la luz. Según estadísticas del INEC, el apresamiento a ciudadanos sin justificación alguna disminuyó en un 90% desde que el ministro Ivan Granda le mete sus garrotazos a la Ministra Romo.",1,despu s descubr relaci n carnal ministr interior mari paul rom ministr iv n grand much notici sal luz seg n stic inec apres ciudadan justificaci n algun disminuy ministr ivan grand met garrotaz ministr rom
33,2019-07-09,Maria José Carrión ya tuvo su primer hijo con el venezolano,"La asambleísta María Jose Carrión quién afirmó hace semanas atrás que se encontraba embarazada, parió a su crío esta madrugada.   Carrión quién también publicó una fotografía con su amante de nacionalidad venezolana, afirmó que en un principio ella lo alojó en su casa por ser un pobre desplazado de su país, luego con unos tragos demás, una cosa llevó a la otra, ella le metió dos puñetes e hicieron el amor.",1,asambl sta mar jos carri n qui n afirm hac seman atr s encontr embaraz pari cr madrug carri n qui n tambi n public fotograf amant nacional venezolan afirm principi aloj cas ser pobr desplaz pa s lueg trag dem s cos llev meti dos pu etes hic amor
34,2019-06-29,Ricky Martin celebró el fichaje de Antonio Valencia por la LDU,"Liga de Quito ha hecho oficial este viernes la contratación por dos años del ecuatoriano Antonio Valencia, quien estuvo en Brasil con la selección que disputó la Copa América.  En un video difundido en sus redes sociales, el exjugador del Manchester United aparece en el estadio Rodrigo Paz vistiendo el mismo número 25 que mantuvo durante una década en Inglaterra, pero ahora con la camiseta blanca del equipo quiteño.",1,lig quit hech oficial viern contrataci n dos ecuatorian antoni valenci brasil selecci n disput cop am ric vide difund red social exjug manchest unit aparec estadi rodrig paz vist mism n mer mantuv d cad inglaterr ahor camiset blanc equip quit
35,2019-06-29,Gobierno analiza gravar impuesto a ‘Netflix’ y a ‘El Mercioco’,"El Gobierno sigue analizando las medidas que se aplicarían como parte de las reformas tributarias que enviará a la Asamblea. En una entrevista en diario El Comercio, el viceministro de Finanzas, Fabián Carrillo, anunció la posibilidad de aplicar un impuesto por el uso de plataformas digitales para películas, series y diversión como Netflix, Spotify y Diario El Mercioco. Según el viceministro, la propuesta nace de la necesidad de formalizar este servicio. El funcionario dijo también que para estas reformas que se plantean reciben asesoramiento técnico de organismos internacionales, entre ellos, la Comisión Económica para América Latina y el Caribe (CEPAL).",1,gobiern sig analiz med aplic an part reform tributari envi asamble entrev diari comerci viceministr finanz fabi n carrill anunci posibil aplic impuest uso plataform digital pel cul seri diversi n netflix spotify diari mercioc seg n viceministr propuest nac neces formaliz servici funcionari dij tambi n reform plant recib asesor t cnic organ internacional comisi n econ mic am ric latin carib cepal
36,2019-06-28,La alcaldía de Riobamba se convierte en chongo de a $5 el palo,"El alcalde de Riobamba junto a sus concejales han decidido convertir el edificio de la alcaldía en un chongo para el pueblo. El objetivo es obtener fondos para completar las obras de la ciudad puesto que ya no hay presupuesto. Según los ediles, este proyecto recaudará alrededor de 10 millones de dólares mensuales.",1,alcald riobamb junt concejal decid convert edifici alcald chong puebl objet obten fond complet obras ciud puest presupuest seg n edil proyect recaud alrededor millon d lar mensual
37,2019-06-24,Ecuatorianos piensan que el Bolillo perderá hasta el vuelo de regreso,"La Selección de Ecuador solo debe ganar a Japón para clasificar a cuartos de final de la Copa América Brasil-2019. Esta posibilidad se dio tras los resultados finales en el grupo B: Colombia derrotó 1-0 a Paraguay y Argentina venció 2-0 a Catar. Si gana Ecuador hace tres unidades y entraría como segundo mejor tercero sobre guaraníes y cataríes, que se quedaron con dos puntos y una unidad respectivamente.",1,selecci n ecuador sol deb gan jap n clasific cuart final cop am ric brasil posibil dio tras result final grup b colombi derrot paraguay argentin venci cat si gan ecuador hac tres unidad entrar segund mejor tercer guar cat qued dos punt unid respect
38,2019-06-17,Ecuatorianos piden a los Bucaram que le “saquen la puta” al Bolillo para que se vaya de una vez,"En la jornada de este domingo, la Selección de Ecuador perdió 4-0 ante Uruguay, en un partido en el que los charrúas dominaron durante gran parte del compromiso.  Ante tal humillación por parte del Bolillo Gomez, los Ecuatorianos por medio de las redes sociales han llamado a la familia Bucaram para defender el nombre del Ecuador.",1,jorn doming selecci n ecuador perdi uruguay part charr as domin gran part compromis tal humillaci n part bolill gomez ecuatorian medi red social llam famili bucaram defend nombr ecuador
39,2019-06-11,Moreno afirma que la selección “Siempre vale tres atados de v….”,"Por las semifinales del Mundial sub 20, Ecuador perdió el duelo contra Corea del Sur, en un intenso duelo táctico, que mantuvo a ambos conjuntos buscando controlar el partido.  Al minuto de finalizar el partido, el mandatario Lenin Moreno afirmó en su cuenta de twitter que Wakanda (refiriendose a los jugadores negros de Ecuador), siempre valen tres atados de v…a. En declaraciones pasadas Moreno insistió en que el Ecuador nunca gana medallas.",1,semifinal mundial sub ecuador perdi duel core sur intens duel t ctic mantuv ambos conjunt busc control part minut finaliz part mandatari lenin moren afirm cuent twitt wakand refir jugador negr ecuador siempr val tres atad v declar pas moren insisti ecuador nunc gan medall
40,2019-06-08,Moreno anuncia que eliminará el impuesto a la cocada por la victoria de la Mini Tri,"Ecuador venció 2-1 a Estados Unidos en el partido por cuartos de final del Mundial Sub 20 de Polonia 2019 y consiguió una histórica clasificación a semifinales.  Ante esta heroica hazaña de los seleccionados sub20, Lenin Moreno afirmó que como apoyo al futbol nacional, eliminará el impuesto a la cocada.",1,ecuador venci unid part cuart final mundial sub poloni consigui hist ric clasificaci n semifinal heroic haz seleccion sub lenin moren afirm apoy futbol nacional elimin impuest coc
41,2019-06-08,Once humildes ecuatorianos le cierran el hocico a Lenin Moreno,"Con goles de José Cifuentes y Jhon Espinoza, la selección ecuatoriana se impuso 2-1 a los norteamericanos (empaté parcial de Timothy Weah) y se clasificó a las semifinales del Mundial de Polonia 2019. Hace un mes Lenin Moreno dijo que “no apoya al deporte ecuatoriano porque nosotros nunca ganamos nada mientras que los estadounidenses siempre ganan todo”.",1,gol jos cifuent jhon espinoz selecci n ecuatorian impus norteamerican empat parcial timothy weah clasific semifinal mundial poloni hac mes lenin moren dij apoy deport ecuatorian nunc gan mientr estadounidens siempr gan
42,2019-06-03,Invasores de la ciclovía festejan con orgullo el triunfo de Carapaz,"El ciclista ecuatoriano Richard Carapaz ganó el Giro de Italia, luego de 21 intensos días y 90 horas de carrera. Es el segundo latinoamericano en lograr esta distinción, y el primer ecuatoriano en alcanzar este hito del deporte mundial.  Miles de conductores que putean a los ciclistas, y que invaden las ciclovías, felicitaron a Carapaz por las redes sociales y se sintieron orgullosos de que Carapaz sea Ecuatoriano.",1,ciclist ecuatorian richard carapaz gan gir itali lueg intens d as hor carrer segund latinoamerican logr distinci n prim ecuatorian alcanz hit deport mundial mil conductor put ciclist invad ciclov as felicit carapaz red social sint orgull carapaz ecuatorian
43,2019-05-31,Alexis Mera rompe record Guinness en su primera hora en la cárcel,"Alexis Mera, exsecretario jurídico de la Presidencia durante el periodo de Rafael Correa, fue detenido en Guayaquil la mañana de este viernes 31 de mayo del 2019, por el caso ‘Arroz con Chancho’ y fue enviado a la cárcel de Esmeraldas .  Según la fiscalía, el mismo acusado habría solicitado ser encarcelado en Esmeraldas.",1,alexis mer exsecretari jur dic president period rafael corre deten guayaquil ma ana viern may cas arroz chanch envi c rcel esmerald seg n fiscal mism acus habr solicit ser encarcel esmerald
44,2019-05-24,AU-D será el nuevo ministro de Economía y Finanzas del Ecuador,"EM. Noticias.– Después de que fuentes desde el Palacio de Carondelet confirmaran que Juan Fernando Velasco será el nuevo ministro de Cultura, un nuevo ministerio cambiará de titular. Se trata del Ministerio de Economía y Finanzas cuya administración pasará a manos de Martín Galarza conocido como AU-D. El músico reemplazará a Richard Martinez, quien se ha desempeñado en el cargo desde el 24 de mayo de 2017. El presidente del Ecuador Lenin Moreno ha manifestado que no habrá mucha diferencia en el cargo, ya que Martinez y Galarza tienen las mismas competencias y características.",1,em notici despu s fuent palaci carondelet confirm juan fern velasc ser nuev ministr cultur nuev ministeri cambi titul trat ministeri econom finanz cuy administraci n pas man mart n galarz conoc au d m sic reemplaz richard martinez desemp ado carg may president ecuador lenin moren manifest habr much diferent carg martinez galarz mism competent caract stic
45,2019-05-20,Trujillo destituye a Satanás y nombra a Hitler “diablo interino”,"Julio Cesar Trujillo, ex presidente del Consejo de Participación Ciudadana y Control Social Transitorio (Cpccs-t), encargado de evaluar a los organismos de control de Ecuador, destituyó hoy a Satanás y a cinco demonios por haberse aliado con Hugo Chavez. El presidente del Cpccs-t, Julio César Trujillo, anunció el fallo de ese organismo en el primer día que llegó al infierno y nombró a Adolf Hitler como el “Señor de la obscuridad interino”. El anuncio lo hizo junto a Leon Febres Cordero.",1,juli ces trujill ex president consej participaci n ciudadan control social transitori cpccs t encarg evalu organ control ecuador destituy hoy sat s cinc demoni hab ali hug chavez president cpccs t juli c sar trujill anunci fall organ prim d lleg infiern nombr adolf hitl or obscur interin anunci hiz junt leon febr corder
